date,interest_total
2010-06-30,0.897
2010-07-31,2.706
2010-08-31,3.592
2010-09-30,4.395
2010-10-31,4.161
2010-11-30,4.668
2010-12-31,5.136
2011-01-31,4.706
2011-02-28,4.477
2011-03-31,4.986
2011-04-30,3.748
2011-05-31,3.958
2011-06-30,3.933
2011-07-31,3.759
2011-08-31,4.131
2011-09-30,4.544
2011-10-31,4.618
2011-11-30,4.622
2011-12-31,3.61
2012-01-31,2.391
2012-02-29,1.561
2012-03-31,1.029
2012-04-30,0.709
2012-05-31,0.614
2012-06-30,0.308
2012-07-31,0.287
2012-08-31,0.214
2012-09-30,0.19
2012-10-31,0.196
2012-11-30,0.166
2012-12-31,0.101
2013-01-31,0.087
2013-02-28,0.131
2013-03-31,0.156
2013-04-30,0.164
2013-05-31,0.146
2013-06-30,0.118
2013-07-31,0.148
2013-08-31,0.102
2013-09-30,0.071
2013-10-31,0.067
2013-11-30,0.045
2013-12-31,0.04
2014-01-31,0.096
2014-02-28,0.08
2014-03-31,0.064
2014-04-30,0.019
2014-05-31,0.0
