date,interest_total
2022-10-31,0.042
2022-11-30,0.018
2022-12-31,0.009
2023-01-31,0.873
2023-02-28,0.159
2023-03-31,0.799
2023-04-30,0.023
2023-05-31,0.041
2023-06-30,0.009
2023-07-31,1.374
2023-08-31,0.867
2023-09-30,0.525
2023-10-31,2.496
2023-11-30,3.975
2023-12-31,12.824
2024-01-31,8.133
2024-02-29,8.921
2024-03-31,12.362
2024-04-30,24.436
2024-05-31,62.903
2024-06-30,82.614
2024-07-31,115.844
2024-08-31,143.364
2024-09-30,168.624
2024-10-31,175.78
2024-11-30,175.103
2024-12-31,163.417
2025-01-31,191.429
2025-02-28,183.082
2025-03-31,228.486
2025-04-30,220.675
2025-05-31,223.394
2025-06-30,239.971
2025-07-31,261.579
2025-08-31,242.891
2025-09-30,267.572
2025-10-31,281.519
2025-11-30,306.64
2025-12-31,318.69
2026-01-31,313.266
2026-02-28,31.095
