date,deposit_facility,lending_facility,net
2006-06-30,0.009,0.0,-0.009
2006-07-31,0.002,0.004,0.002
2006-09-30,0.227,0.038,-0.189
2006-10-31,0.038,0.632,0.594
2006-11-30,0.0,0.192,0.192
2006-12-31,0.0,0.084,0.084
2007-01-31,0.0,0.033,0.033
2007-02-28,0.0,0.162,0.162
2007-03-31,0.0,0.054,0.054
2007-04-30,0.088,0.093,0.005
2007-05-31,0.03,0.217,0.187
2007-06-30,0.038,2.17,2.132
2007-07-31,0.006,0.373,0.367
2007-08-31,0.168,0.295,0.127
2007-09-30,0.028,0.049,0.021
2008-09-30,4.048,0.0,-4.048
2008-10-31,4.04,0.0,-4.04
2008-11-30,10.612,0.0,-10.612
2008-12-31,8.406,0.0,-8.406
2009-01-31,2.879,0.0,-2.879
2009-02-28,0.617,0.035,-0.582
2009-03-31,0.073,0.03,-0.043
2009-04-30,0.0,0.007,0.007
2011-06-30,0.0,0.001,0.001
2011-07-31,0.0,0.007,0.007
2011-08-31,0.0,0.001,0.001
2018-06-30,0.0,0.001,0.001
2018-07-31,0.001,0.003,0.002
2020-08-31,0.0,0.749,0.749
2020-09-30,0.0,0.461,0.461
2022-02-28,0.001,0.0,-0.001
2022-03-31,0.001,0.0,-0.001
2022-06-30,0.129,0.9,0.771
2022-07-31,0.268,1.86,1.592
2022-08-31,0.579,0.18,-0.399
2022-09-30,3.627,0.0,-3.627
2022-10-31,11.061,0.0,-11.061
2022-11-30,5.439,0.0,-5.439
2022-12-31,2.363,0.0,-2.363
2023-02-28,0.594,0.0,-0.594
2023-03-31,0.484,0.0,-0.484
2023-05-31,0.012,0.0,-0.012
2023-06-30,0.004,0.0,-0.004
2023-07-31,0.004,0.0,-0.004
2023-09-30,0.001,0.0,-0.001
2023-10-31,0.004,0.0,-0.004
2024-08-31,0.004,0.0,-0.004
2024-09-30,0.002,0.0,-0.002
2025-11-30,0.0,0.003,0.003
