"Date","Bank Rate, paid and charged on reserves, charged in weekly and fine tune              [a] [b] [c]             YWMB47D","Monthly rate of Central Bank sterling lending facility for monetary policy not seasonally adjusted (in percent)              [d] [e] [f]             YWMB48D","Monthly rate of Central Bank sterling deposit facility for monetary policy not seasonally adjusted (in percent)              [d] [e] [f]             YWMB49D","Monthly rate of Central Bank sterling operational lending facility for monetary policy not seasonally adjusted (in percent)              [a] [g] [h]             YWMB82C","Monthly rate of Central Bank sterling operational deposit facility for monetary policy not seasonally adjusted (in percent)              [a] [g] [h]             YWMB83C","Lower bound for average holdings in Reserves accounts by maintenance period (percentage of target)              [e] [i] [j]             YWMB88M","Upper bound for average holdings in Reserves accounts by maintenance period (percentage of target)              [e] [i] [j]             YWMB89M"
"04 May 06","4.5","5.5","3.5","n/a","n/a","1","1"
"08 Jun 06","4.5","5.5","3.5","n/a","n/a","1","1"
"06 Jul 06","4.5","5.5","3.5","n/a","n/a","1","1"
"03 Aug 06","4.75","5.75","3.75","n/a","n/a","1","1"
"07 Sep 06","4.75","5.75","3.75","n/a","n/a","1","1"
"05 Oct 06","4.75","5.75","3.75","n/a","n/a","1","1"
"09 Nov 06","5","6","4","n/a","n/a","1","1"
"07 Dec 06","5","6","4","n/a","n/a","1","1"
"11 Jan 07","5.25","6.25","4.25","n/a","n/a","1","1"
"08 Feb 07","5.25","6.25","4.25","n/a","n/a","1","1"
"08 Mar 07","5.25","6.25","4.25","n/a","n/a","1","1"
"05 Apr 07","5.25","6.25","4.25","n/a","n/a","1","1"
"10 May 07","5.5","6.5","4.5","n/a","n/a","1","1"
"07 Jun 07","5.5","6.5","4.5","n/a","n/a","1","1"
"05 Jul 07","5.75","6.75","4.75","n/a","n/a","1","1"
"02 Aug 07","5.75","6.75","4.75","n/a","n/a","1","1"
"06 Sep 07","5.75","6.75","4.75","n/a","n/a","60","60"
"04 Oct 07","5.75","6.75","4.75","n/a","n/a","30","30"
"08 Nov 07","5.75","6.75","4.75","n/a","n/a","30","30"
"06 Dec 07","5.5","6.5","4.5","n/a","n/a","30","30"
"10 Jan 08","5.5","6.5","4.5","n/a","n/a","30","30"
"07 Feb 08","5.25","6.25","4.25","n/a","n/a","30","30"
"06 Mar 08","5.25","6.25","4.25","n/a","n/a","30","30"
"10 Apr 08","5","6","4","n/a","n/a","30","30"
