"Date","Weekly stock of holdings of gilts by the Bank of England's asset purchase facility (in sterling millions)              [a] [b]             YWWB9T9"
"12 Mar 09","2000"
"19 Mar 09","6992"
"26 Mar 09","12993"
"02 Apr 09","18992"
"09 Apr 09","24992"
"16 Apr 09","31495"
"23 Apr 09","37999"
"30 Apr 09","44507"
"07 May 09","51008"
"14 May 09","57500"
"21 May 09","63994"
"28 May 09","70496"
"04 Jun 09","77005"
"11 Jun 09","83392"
"18 Jun 09","89868"
"25 Jun 09","96368"
"02 Jul 09","102868"
"09 Jul 09","109373"
"16 Jul 09","113873"
"23 Jul 09","118370"
"30 Jul 09","122374"
"06 Aug 09","122374"
"13 Aug 09","126571"
"20 Aug 09","130771"
"27 Aug 09","134971"
"03 Sep 09","137771"
"10 Sep 09","143374"
"17 Sep 09","147574"
"24 Sep 09","151775"
"01 Oct 09","155975"
"08 Oct 09","160175"
"15 Oct 09","164375"
"22 Oct 09","168575"
"29 Oct 09","172775"
"05 Nov 09","172775"
"12 Nov 09","176175"
"19 Nov 09","177875"
"26 Nov 09","181275"
"03 Dec 09","182976"
"10 Dec 09","186376"
"17 Dec 09","188076"
"24 Dec 09","188076"
"31 Dec 09","188076"
"07 Jan 10","191475"
"14 Jan 10","193175"
"21 Jan 10","196575"
"28 Jan 10","198275"
"04 Feb 10","198275"
"11 Feb 10","198275"
"18 Feb 10","198275"
"25 Feb 10","198275"
"04 Mar 10","198275"
"11 Mar 10","198275"
"18 Mar 10","198275"
"25 Mar 10","198275"
"01 Apr 10","198275"
"08 Apr 10","198275"
"15 Apr 10","198275"
"22 Apr 10","198275"
"29 Apr 10","198275"
"06 May 10","198275"
"13 May 10","198275"
"20 May 10","198275"
"27 May 10","198275"
"03 Jun 10","198275"
"10 Jun 10","198275"
"17 Jun 10","198275"
"24 Jun 10","198275"
"01 Jul 10","198275"
"08 Jul 10","198275"
"15 Jul 10","198275"
"22 Jul 10","198275"
"29 Jul 10","198275"
"05 Aug 10","198275"
"12 Aug 10","198275"
"19 Aug 10","198275"
"26 Aug 10","198275"
"02 Sep 10","198275"
"09 Sep 10","198275"
"16 Sep 10","198275"
"23 Sep 10","198275"
"30 Sep 10","198275"
"07 Oct 10","198275"
"14 Oct 10","198275"
"21 Oct 10","198275"
"28 Oct 10","198275"
"04 Nov 10","198275"
"11 Nov 10","198275"
"18 Nov 10","198275"
"25 Nov 10","198275"
"02 Dec 10","198275"
"09 Dec 10","198275"
"16 Dec 10","198275"
"23 Dec 10","198275"
"30 Dec 10","198275"
"06 Jan 11","198275"
"13 Jan 11","198275"
"20 Jan 11","198275"
"27 Jan 11","198275"
"03 Feb 11","198275"
"10 Feb 11","198275"
"17 Feb 11","198275"
"24 Feb 11","198275"
"03 Mar 11","198275"
"10 Mar 11","198275"
"17 Mar 11","198275"
"24 Mar 11","198275"
"31 Mar 11","198275"
"07 Apr 11","198275"
"14 Apr 11","198275"
"21 Apr 11","198275"
"28 Apr 11","198275"
"05 May 11","198275"
"12 May 11","198275"
"19 May 11","198275"
"26 May 11","198275"
"02 Jun 11","198275"
"09 Jun 11","198275"
"16 Jun 11","198275"
"23 Jun 11","198275"
"30 Jun 11","198275"
"07 Jul 11","198275"
"14 Jul 11","198275"
"21 Jul 11","198275"
"28 Jul 11","198275"
"04 Aug 11","198275"
"11 Aug 11","198275"
"18 Aug 11","198275"
"25 Aug 11","198275"
"01 Sep 11","198275"
"08 Sep 11","198275"
"15 Sep 11","198275"
"22 Sep 11","198275"
"29 Sep 11","198275"
"06 Oct 11","198275"
"13 Oct 11","203375"
"20 Oct 11","208474"
"27 Oct 11","213574"
"03 Nov 11","218674"
"10 Nov 11","223774"
"17 Nov 11","228873"
"24 Nov 11","233973"
"01 Dec 11","239073"
"08 Dec 11","244173"
"15 Dec 11","249272"
"22 Dec 11","249272"
"29 Dec 11","249272"
"05 Jan 12","252672"
"12 Jan 12","257772"
"19 Jan 12","262872"
"26 Jan 12","268072"
"02 Feb 12","273271"
"09 Feb 12","273271"
"16 Feb 12","277771"
"23 Feb 12","282271"
"01 Mar 12","286770"
"08 Mar 12","291270"
"15 Mar 12","295770"
"22 Mar 12","298770"
"29 Mar 12","303270"
"05 Apr 12","307769"
"12 Apr 12","310769"
"19 Apr 12","315269"
"26 Apr 12","320069"
"03 May 12","324753"
"10 May 12","324753"
"17 May 12","324753"
"24 May 12","324753"
"31 May 12","324753"
