"Date","Official Bank Rate              [a] [b]             IUDBEDR"
"03 Jan 06","4.5"
"04 Jan 06","4.5"
"05 Jan 06","4.5"
"06 Jan 06","4.5"
"09 Jan 06","4.5"
"10 Jan 06","4.5"
"11 Jan 06","4.5"
"12 Jan 06","4.5"
"13 Jan 06","4.5"
"16 Jan 06","4.5"
"17 Jan 06","4.5"
"18 Jan 06","4.5"
"19 Jan 06","4.5"
"20 Jan 06","4.5"
"23 Jan 06","4.5"
"24 Jan 06","4.5"
"25 Jan 06","4.5"
"26 Jan 06","4.5"
"27 Jan 06","4.5"
"30 Jan 06","4.5"
"31 Jan 06","4.5"
"01 Feb 06","4.5"
"02 Feb 06","4.5"
"03 Feb 06","4.5"
"06 Feb 06","4.5"
"07 Feb 06","4.5"
"08 Feb 06","4.5"
"09 Feb 06","4.5"
"10 Feb 06","4.5"
"13 Feb 06","4.5"
"14 Feb 06","4.5"
"15 Feb 06","4.5"
"16 Feb 06","4.5"
"17 Feb 06","4.5"
"20 Feb 06","4.5"
"21 Feb 06","4.5"
"22 Feb 06","4.5"
"23 Feb 06","4.5"
"24 Feb 06","4.5"
"27 Feb 06","4.5"
"28 Feb 06","4.5"
"01 Mar 06","4.5"
"02 Mar 06","4.5"
"03 Mar 06","4.5"
"06 Mar 06","4.5"
"07 Mar 06","4.5"
"08 Mar 06","4.5"
"09 Mar 06","4.5"
"10 Mar 06","4.5"
"13 Mar 06","4.5"
"14 Mar 06","4.5"
"15 Mar 06","4.5"
"16 Mar 06","4.5"
"17 Mar 06","4.5"
"20 Mar 06","4.5"
"21 Mar 06","4.5"
"22 Mar 06","4.5"
"23 Mar 06","4.5"
"24 Mar 06","4.5"
"27 Mar 06","4.5"
"28 Mar 06","4.5"
"29 Mar 06","4.5"
"30 Mar 06","4.5"
"31 Mar 06","4.5"
"03 Apr 06","4.5"
"04 Apr 06","4.5"
"05 Apr 06","4.5"
"06 Apr 06","4.5"
"07 Apr 06","4.5"
"10 Apr 06","4.5"
"11 Apr 06","4.5"
"12 Apr 06","4.5"
"13 Apr 06","4.5"
"18 Apr 06","4.5"
"19 Apr 06","4.5"
"20 Apr 06","4.5"
"21 Apr 06","4.5"
"24 Apr 06","4.5"
"25 Apr 06","4.5"
"26 Apr 06","4.5"
"27 Apr 06","4.5"
"28 Apr 06","4.5"
"02 May 06","4.5"
"03 May 06","4.5"
"04 May 06","4.5"
"05 May 06","4.5"
"08 May 06","4.5"
"09 May 06","4.5"
"10 May 06","4.5"
"11 May 06","4.5"
"12 May 06","4.5"
"15 May 06","4.5"
"16 May 06","4.5"
"17 May 06","4.5"
"18 May 06","4.5"
"19 May 06","4.5"
"22 May 06","4.5"
"23 May 06","4.5"
"24 May 06","4.5"
"25 May 06","4.5"
"26 May 06","4.5"
"30 May 06","4.5"
"31 May 06","4.5"
"01 Jun 06","4.5"
"02 Jun 06","4.5"
"05 Jun 06","4.5"
"06 Jun 06","4.5"
"07 Jun 06","4.5"
"08 Jun 06","4.5"
"09 Jun 06","4.5"
"12 Jun 06","4.5"
"13 Jun 06","4.5"
"14 Jun 06","4.5"
"15 Jun 06","4.5"
"16 Jun 06","4.5"
"19 Jun 06","4.5"
"20 Jun 06","4.5"
"21 Jun 06","4.5"
"22 Jun 06","4.5"
"23 Jun 06","4.5"
"26 Jun 06","4.5"
"27 Jun 06","4.5"
"28 Jun 06","4.5"
"29 Jun 06","4.5"
"30 Jun 06","4.5"
"03 Jul 06","4.5"
"04 Jul 06","4.5"
"05 Jul 06","4.5"
"06 Jul 06","4.5"
"07 Jul 06","4.5"
"10 Jul 06","4.5"
"11 Jul 06","4.5"
"12 Jul 06","4.5"
"13 Jul 06","4.5"
"14 Jul 06","4.5"
"17 Jul 06","4.5"
