"Date","Monthly average amount outstanding of Central Bank sterling deposit facility for monetary policy not seasonally adjusted (in sterling millions)              [a]             YWMB39D","Monthly average amount outstanding of Central Bank short-term open market operations (fine tune sterling) not seasonally adjusted (in sterling millions)              [b] [c]             YWMB42D","Monthly average amount outstanding of Central Bank sterling reserve balances for monetary policy not seasonally adjusted (in sterling millions)              [b] [c]             YWMB43D","Monthly average amount outstanding of Central Bank sterling operational deposit facility for monetary policy not seasonally adjusted (in sterling millions)              [b] [c] [d]             YWMB85C","Monthly average amount outstanding of Central Bank short-term open market operations not seasonally adjusted (in sterling millions)              [b] [c]             YWMB8R9","Monthly average amount outstanding of Central Bank short-term open market operations (one week sterling) not seasonally adjusted (in sterling millions)              [b] [c]             YWMB9R2"
"04 May 06","0","0","23002","n/a","n/a","n/a"
"08 Jun 06","4","0","19564","n/a","0","n/a"
"06 Jul 06","0","0","18397","n/a","0","n/a"
"03 Aug 06","0","0","17823","n/a","0","n/a"
"07 Sep 06","92","0","16740","n/a","0","n/a"
"05 Oct 06","0","68","16300","n/a","68","n/a"
"09 Nov 06","0","0","17121","n/a","0","n/a"
"07 Dec 06","0","40","18606","n/a","40","n/a"
"11 Jan 07","0","30","16669","n/a","30","n/a"
"08 Feb 07","0","68","16466","n/a","68","n/a"
"08 Mar 07","0","0","16723","n/a","0","n/a"
"05 Apr 07","29","0","16334","n/a","0","n/a"
"10 May 07","0","0","16071","n/a","0","n/a"
"07 Jun 07","13","0","16421","n/a","0","n/a"
"05 Jul 07","0","0","16134","n/a","0","n/a"
"02 Aug 07","43","0","16565","n/a","0","n/a"
"06 Sep 07","0","0","23183","n/a","0","n/a"
"04 Oct 07","0","0","20051","n/a","0","n/a"
"08 Nov 07","0","0","21209","n/a","0","n/a"
"06 Dec 07","0","37","22733","n/a","37","n/a"
"10 Jan 08","0","0","20631","n/a","0","n/a"
"07 Feb 08","0","0","21071","n/a","0","n/a"
"06 Mar 08","0","0","23324","n/a","0","n/a"
"10 Apr 08","0","0","23536","n/a","0","n/a"
"08 May 08","0","0","24628","n/a","0","n/a"
"05 Jun 08","0","0","26079","n/a","0","n/a"
"10 Jul 08","0","0","26644","n/a","0","n/a"
"07 Aug 08","0","0","26800","n/a","0","n/a"
"04 Sep 08","1368","1856","35621","n/a","1856","0"
"09 Oct 08","n/a","3041","45579","1061","31162","28121"
"06 Nov 08","n/a","1875","41809","5306","53301","51427"
"04 Dec 08","n/a","5","44793","5368","77040","77035"
"08 Jan 09","n/a","0","40286","1311","71852","71852"
"05 Feb 09","n/a","0","38766","886","41159","41159"
"05 Mar 09","n/a","0","50064","0","37583","37583"
"09 Apr 09","n/a","0","73874","0","37498","37498"
"07 May 09","n/a","0","100785","0","23525","23525"
"04 Jun 09","n/a","0","130692","0","3612","3612"
"09 Jul 09","n/a","0","156221","0","0","0"
"06 Aug 09","n/a","0","132945","0","0","0"
"10 Sep 09","n/a","0","133836","0","0","0"
"08 Oct 09","n/a","0","143976","0","0","0"
"05 Nov 09","n/a","0","145628","0","0","0"
"10 Dec 09","n/a","0","144868","0","0","0"
"07 Jan 10","n/a","0","155328","0","0","0"
"04 Feb 10","n/a","0","154793","0","0","0"
"04 Mar 10","n/a","0","151867","0","0","0"
"08 Apr 10","n/a","0","151129","0","0","0"
"10 May 10","n/a","0","150722","0","0","0"
"10 Jun 10","n/a","0","149738","0","0","0"
"08 Jul 10","n/a","0","150613","0","0","0"
"05 Aug 10","n/a","0","148613","0","0","0"
"09 Sep 10","n/a","0","143693","0","0","0"
"07 Oct 10","n/a","0","142781","0","0","0"
"04 Nov 10","n/a","0","143045","0","0","0"
"09 Dec 10","n/a","0","138958","0","0","0"
"13 Jan 11","n/a","0","138798","0","0","0"
"10 Feb 11","n/a","0","137949","0","0","0"
"10 Mar 11","n/a","0","134272","0","0","0"
"07 Apr 11","n/a","0","131436","0","0","0"
"05 May 11","n/a","0","131141","0","0","0"
"09 Jun 11","n/a","0","127967","0","0","0"
"07 Jul 11","n/a","0","127388","0","0","0"
"04 Aug 11","n/a","0","127235","0","0","0"
"08 Sep 11","n/a","0","124744","0","0","0"
"06 Oct 11","n/a","0","135673","0","0","0"
"10 Nov 11","n/a","0","155016","0","0","0"
"08 Dec 11","n/a","0","165590","0","0","0"
"12 Jan 12","n/a","0","178599","0","0","0"
"09 Feb 12","n/a","0","191615","0","0","0"
"08 Mar 12","n/a","0","203329","0","0","0"
"05 Apr 12","n/a","0","222571","0","0","0"
"10 May 12","n/a","0","229457","0","0","0"
"07 Jun 12","n/a","0","228229","0","0","0"
"05 Jul 12","n/a","0","237467","0","0","0"
"02 Aug 12","n/a","0","252996","0","0","0"
"06 Sep 12","n/a","0","262726","0","0","0"
"04 Oct 12","n/a","0","275770","0","0","0"
"08 Nov 12","n/a","0","280766","0","0","0"
"06 Dec 12","n/a","0","273897","0","0","0"
"10 Jan 13","n/a","0","273913","0","0","0"
"07 Feb 13","n/a","0","279063","0","0","0"
"07 Mar 13","n/a","0","277382","0","0","0"
"04 Apr 13","n/a","0","285722","0","0","0"
