"Date","Monthly average amount outstanding of Central Bank sterling weekly operations for monetary policy not seasonally adjusted	(in sterling millions)              [a] [b]             YWMB35D","Monthly average amount outstanding of Central Bank sterling fine tune operations for monetary policy not seasonally adjusted (in sterling millions)              [a] [b]             YWMB36D","Monthly average amount outstanding of Central Bank sterling longer term reverse repos for monetary policy not seasonally adjusted (in sterling millions)              [a] [b]             YWMB37D","Monthly average amount outstanding of Central Bank sterling lending facility for monetary policy not seasonally adjusted (in sterling millions)              [c]             YWMB38D","Monthly average amount outstanding of Central Bank holdings of sterling gilts for monetary policy not seasonally adjusted (in sterling millions)              [a] [b]             YWMB7I2","Monthly average amount outstanding of Central Bank sterling Contingent Term Repos not seasonally adjusted (in sterling millions)              [a] [b]             YWMB7PD","Monthly average amount outstanding of Central Bank sterling operational lending facility for monetary policy not seasonally adjusted (in sterling millions)              [a] [b] [d]             YWMB84C","Monthly average amount outstanding of Central Bank Short-term repo market operations not seasonally adjusted (in sterling millions)                           YWMZOJ5"
"04 May 06","36890","0","15000","0","n/a","n/a","n/a","n/a"
"08 Jun 06","33310","0","15214","0","n/a","n/a","n/a","n/a"
"06 Jul 06","32447","26","15212","1","n/a","n/a","n/a","n/a"
"03 Aug 06","32802","3","14830","0","n/a","n/a","n/a","n/a"
"07 Sep 06","31090","166","14968","10","n/a","n/a","n/a","n/a"
"05 Oct 06","30498","0","15137","147","n/a","n/a","n/a","n/a"
"09 Nov 06","31292","53","15021","2","n/a","n/a","n/a","n/a"
"07 Dec 06","35534","0","14937","20","n/a","n/a","n/a","n/a"
"11 Jan 07","30703","0","14979","0","n/a","n/a","n/a","n/a"
"08 Feb 07","30335","0","14963","45","n/a","n/a","n/a","n/a"
"08 Mar 07","31430","28","14950","0","n/a","n/a","n/a","n/a"
"05 Apr 07","31888","0","15000","21","n/a","n/a","n/a","n/a"
"10 May 07","31588","0","15000","47","n/a","n/a","n/a","n/a"
"07 Jun 07","30665","870","15000","496","n/a","n/a","n/a","n/a"
"05 Jul 07","32141","25","15000","4","n/a","n/a","n/a","n/a"
"02 Aug 07","33108","65","15000","53","n/a","n/a","n/a","n/a"
"06 Sep 07","36867","315","15000","0","n/a","n/a","n/a","n/a"
"04 Oct 07","24364","0","14937","0","n/a","n/a","n/a","n/a"
"08 Nov 07","19512","0","14904","0","n/a","n/a","n/a","n/a"
"06 Dec 07","15502","0","19941","0","n/a","n/a","n/a","n/a"
"10 Jan 08","4167","71","29636","0","128","n/a","n/a","n/a"
"07 Feb 08","5691","346","31999","0","528","n/a","n/a","n/a"
"06 Mar 08","10383","429","31999","0","865","n/a","n/a","n/a"
"10 Apr 08","11824","254","35928","0","1202","n/a","n/a","n/a"
"08 May 08","14302","271","36948","0","1491","n/a","n/a","n/a"
"05 Jun 08","18885","23","33855","0","1998","n/a","n/a","n/a"
"10 Jul 08","29651","426","24179","0","2341","n/a","n/a","n/a"
"07 Aug 08","34779","158","21996","0","2661","n/a","n/a","n/a"
"04 Sep 08","42382","1571","33208","0","3308","n/a","n/a","n/a"
"09 Oct 08","0","714","108468","n/a","3662","n/a","0","n/a"
"06 Nov 08","0","0","139643","n/a","4136","n/a","0","n/a"
"04 Dec 08","0","0","165389","n/a","4548","n/a","0","n/a"
"08 Jan 09","0","71","149704","n/a","4673","n/a","0","n/a"
"05 Feb 09","0","0","131521","n/a","5093","n/a","43","n/a"
"05 Mar 09","0","0","135307","n/a","5435","n/a","43","n/a"
"09 Apr 09","0","0","129735","n/a","5433","n/a","0","n/a"
"07 May 09","0","0","116160","n/a","5430","n/a","0","n/a"
"04 Jun 09","2348","0","92655","n/a","5417","n/a","0","n/a"
"09 Jul 09","25345","0","65630","n/a","5417","n/a","0","n/a"
"06 Aug 09","0","0","53858","n/a","5445","n/a","0","n/a"
"10 Sep 09","0","0","39801","n/a","5493","n/a","0","n/a"
"08 Oct 09","0","0","33357","n/a","5493","n/a","0","n/a"
"05 Nov 09","0","0","27937","n/a","5478","n/a","0","n/a"
"10 Dec 09","0","0","24336","n/a","5439","n/a","0","n/a"
"07 Jan 10","0","0","24621","n/a","5439","n/a","0","n/a"
"04 Feb 10","0","0","20985","n/a","5411","n/a","0","n/a"
"04 Mar 10","0","0","22066","n/a","5309","n/a","0","n/a"
"08 Apr 10","0","0","21191","n/a","5309","n/a","0","n/a"
"10 May 10","0","0","21501","n/a","5355","n/a","0","n/a"
"10 Jun 10","0","0","21289","n/a","5418","n/a","0","n/a"
"08 Jul 10","0","0","22350","n/a","5418","n/a","0","n/a"
"05 Aug 10","0","0","20450","n/a","5466","n/a","0","n/a"
"09 Sep 10","0","0","17889","n/a","5603","n/a","0","n/a"
"07 Oct 10","0","0","16539","n/a","5603","n/a","0","n/a"
"04 Nov 10","0","0","16901","n/a","5559","n/a","0","n/a"
"09 Dec 10","0","0","16886","n/a","5432","n/a","0","n/a"
"13 Jan 11","0","0","14702","n/a","5432","n/a","0","n/a"
"10 Feb 11","0","0","13586","n/a","5382","n/a","0","n/a"
"10 Mar 11","0","0","13085","n/a","5237","n/a","0","n/a"
"07 Apr 11","0","0","12910","n/a","5237","n/a","0","n/a"
"05 May 11","0","0","12665","n/a","5258","n/a","0","n/a"
"09 Jun 11","0","0","11073","n/a","5321","n/a","3","n/a"
"07 Jul 11","0","0","11684","n/a","5112","n/a","13","n/a"
"04 Aug 11","0","0","12566","n/a","5108","n/a","0","n/a"
"08 Sep 11","0","0","13775","n/a","5247","n/a","0","n/a"
"06 Oct 11","0","0","13878","n/a","5247","n/a","0","n/a"
"10 Nov 11","0","0","12900","n/a","5284","n/a","0","n/a"
"08 Dec 11","0","0","10514","n/a","5379","n/a","0","n/a"
"12 Jan 12","0","0","5545","n/a","5379","n/a","0","n/a"
"09 Feb 12","0","0","3910","n/a","5379","n/a","0","n/a"
"08 Mar 12","0","0","2647","n/a","5379","n/a","0","n/a"
"05 Apr 12","0","0","2233","n/a","5379","n/a","0","n/a"
"10 May 12","0","0","1444","n/a","5396","n/a","0","n/a"
"07 Jun 12","0","0","925","n/a","5071","2500","0","n/a"
